group,service_type,n_added,threshold_m,site_ids,covered_before_percent,covered_after_percent,gain_percent
seniors,pharmacy,5,800.0,16 44 65 99 102,23.2,38.4,15.3
seniors,school,5,800.0,9 61 102 109 112,34.3,50.1,15.7
seniors,kindergarten,5,800.0,0 7 44 87 112,27.5,42.1,14.6
seniors,bank,5,800.0,0 61 87 99 102,16.4,33.3,16.8
seniors,health,5,800.0,0 7 61 87 101,11.8,30.1,18.3
seniors,dentist,5,800.0,7 16 61 87 101,9.3,30.0,20.7
seniors,veterinary,5,800.0,8 44 61 87 101,3.0,26.2,23.2
seniors,supermarket,5,800.0,0 16 44 65 101,19.1,34.9,15.8
seniors,convenience,5,800.0,16 65 87 99 102,24.4,38.8,14.4
rest,pharmacy,5,1000.0,45 52 53 58 101,23.9,42.7,18.8
rest,school,5,1000.0,0 49 61 102 112,49.4,62.1,12.7
rest,kindergarten,5,1000.0,45 49 52 53 112,32.3,48.8,16.4
rest,bank,5,1000.0,0 52 71 77 101,17.4,37.0,19.6
rest,health,5,1000.0,0 52 71 101 112,14.6,34.8,20.2
rest,dentist,5,1000.0,52 53 71 101 112,11.6,32.3,20.7
rest,veterinary,5,1000.0,44 53 71 101 112,5.6,29.2,23.6
rest,supermarket,5,1000.0,0 45 52 53 101,18.0,37.3,19.3
rest,convenience,5,1000.0,45 52 58 77 101,32.8,49.1,16.3
