place_id,distance_epicerie,cote_epicerie,distance_pharmacie,cote_pharmacie,distance_sante,cote_sante,distance_banque,cote_banque,distance_poste,cote_poste,distance_ecole,cote_ecole,distance_bibliotheque,cote_bibliotheque,distance_communautaire,cote_communautaire,cote_totale,distance_transport,acces_transport
0,1618.656954016054,3,1912.9771251783873,3,2423.895028320338,2,,1,,1,2360.0719517861194,2,,1,0.0,4,17,1565.7468472760745,False
1,1603.7191180052412,3,1898.0392891675745,3,2408.957192309525,2,,1,,1,2345.1341157753063,2,,1,308.39321826616646,4,17,1550.8090112652615,False
2,438.1848262107036,4,1495.8784817624792,3,1456.9722862306794,3,1432.7242429390126,3,1780.4946151963927,3,1370.1065407369902,3,1904.2694945742853,3,1438.6826108163525,3,25,252.67750956942479,True
3,1197.4168736578508,3,2789.9820185743374,2,,1,,1,,1,1126.858005827974,3,,1,908.9977952386016,4,16,84.32678937777494,True
4,870.4993923509022,4,1000.2442885920224,3,,1,2642.55797159334,2,,1,208.42416201129834,4,,1,1842.4485666087219,3,19,289.0321194811032,True
5,438.1848262107036,4,1495.8784817624792,3,1456.9722862306794,3,1432.7242429390126,3,1780.4946151963927,3,1370.1065407369902,3,1904.2694945742853,3,1438.6826108163525,3,25,252.67750956942479,True
6,409.13771320490326,4,1466.8313687566788,3,1427.925173224879,3,1403.6771299332122,3,1751.4475021905923,3,1341.0594277311898,3,1875.222381568485,3,1409.6354978105521,3,25,223.63039656362446,True
7,361.62085028647493,4,1419.3145058382506,3,1380.4083103064509,3,1356.160267014784,3,1703.9306392721642,3,1293.5425648127616,3,1827.7055186500568,3,1362.118634892124,3,25,176.11353364519616,True
8,280.01553640307935,4,1337.709191954855,3,1298.8029964230552,3,1274.5549531313884,3,1622.3253253887685,3,1211.937250929366,3,1746.1002047666611,3,1280.5133210087283,3,25,94.5082197618006,True
9,326.58058390420547,4,1384.2742394559812,3,1345.3680439241814,3,1321.1200006325146,3,1668.8903728898947,3,1258.5022984304921,3,1792.6652522677873,3,1327.0783685098545,3,25,141.07326726292672,True
10,391.3286964243746,4,1449.0223519761503,3,1410.1161564443505,3,1385.8681131526837,3,1733.6384854100638,3,1323.2504109506613,3,1857.4133647879564,3,1391.8264810300236,3,25,205.82137978309586,True
11,185.50731664127875,4,1243.2009721930544,3,1204.2947766612547,3,1180.0467333695879,3,1527.817105626968,3,1117.4290311675654,3,1651.5919850048606,3,1186.0051012469278,3,25,0.0,True
12,249.73100111311024,4,337.72053837250235,4,788.888227976797,4,313.2878337814317,4,1855.099062540195,3,1152.8368471146052,3,584.8780156918419,4,1175.2671297323686,3,29,124.77672462216061,True
13,220.7421705348007,4,308.7317077941928,4,759.8993973984875,4,284.29900320312214,4,1826.1102319618853,3,1123.8480165362957,3,555.8891851135323,4,1146.278299154059,3,29,95.78789404385107,True
14,743.811223910587,4,1202.6841339507296,3,949.4375039776049,4,941.0673101660972,4,1747.2618656853128,3,705.3324616949864,4,1842.7553760583357,3,690.6146914049384,4,29,203.1251845894152,True
15,919.0753930253047,4,1868.7142943718827,3,1025.2141231888024,3,1116.3314792808146,3,1922.5260348000309,3,880.596630809704,4,1918.5319952695331,3,334.3354795062513,4,27,991.2000504419991,False
16,208.22635248987723,4,143.2054758953944,4,47.065199396894926,4,279.1631270252365,4,317.16152823819675,4,905.3687181031393,4,541.0545255207514,4,539.3971044402841,4,32,105.60768141973037,True
17,306.23595755010956,4,241.2150809556267,4,88.62318037353265,4,377.1727320854688,4,415.171133298429,4,844.0272933833753,4,479.71310080098755,4,478.05567972052023,4,32,203.61728647996267,True
18,778.3308329598648,4,702.100579156507,4,169.902366931906,4,739.9333145294953,4,2500.2584015139064,2,221.9468493638696,4,1009.8438236792534,3,1450.0609222477583,3,28,143.64103302910758,True
19,381.2489307067732,4,495.9466050337935,4,1026.0892008839373,3,477.0432654858688,4,2025.780304888987,2,906.2876896409417,4,315.8760932701856,4,906.2652073107123,4,29,430.7100404979433,True
20,676.3991299593018,4,800.0231033268736,4,267.8248911022727,4,837.8558386998619,4,2598.1809256842735,2,120.01514636330666,4,1107.7663478496202,3,1547.9834464181251,3,28,241.5635571994743,True
21,776.3262435447666,4,700.0959897414089,4,167.89777751680788,4,737.9287251143971,4,2498.2538120988083,2,219.9422599487715,4,1007.8392342641553,3,1448.0563328326602,3,28,141.63644361400947,True
22,305.88759836090253,4,955.8586819177341,4,399.25849942200716,4,975.4831676208922,4,2753.505952331779,2,534.1644643030264,4,1263.6019264404804,3,1703.8190250089851,3,28,0.0,True
