population,mode,service_type,threshold_m,covered_percent
seniors,marche,pharmacy,200,2.6
seniors,marche,pharmacy,800,25.5
seniors,marche,school,200,2.4
seniors,marche,school,800,40.4
seniors,marche,kindergarten,200,2.7
seniors,marche,kindergarten,800,31.9
seniors,marche,bank,200,1.4
seniors,marche,bank,800,18.4
seniors,marche,health,200,1.8
seniors,marche,health,800,13.8
seniors,marche,dentist,200,1.4
seniors,marche,dentist,800,10.0
seniors,marche,veterinary,200,0.2
seniors,marche,veterinary,800,4.5
seniors,marche,supermarket,200,1.5
seniors,marche,supermarket,800,21.1
seniors,marche,convenience,200,2.7
seniors,marche,convenience,800,28.2
seniors,marche_transport,pharmacy,200,16.3
seniors,marche_transport,pharmacy,800,74.9
seniors,marche_transport,school,200,15.9
seniors,marche_transport,school,800,79.4
seniors,marche_transport,kindergarten,200,24.2
seniors,marche_transport,kindergarten,800,82.1
seniors,marche_transport,bank,200,17.4
seniors,marche_transport,bank,800,75.4
seniors,marche_transport,health,200,21.3
seniors,marche_transport,health,800,76.6
seniors,marche_transport,dentist,200,1.4
seniors,marche_transport,dentist,800,63.6
seniors,marche_transport,veterinary,200,16.6
seniors,marche_transport,veterinary,800,75.8
seniors,marche_transport,supermarket,200,17.9
seniors,marche_transport,supermarket,800,75.2
seniors,marche_transport,convenience,200,23.4
seniors,marche_transport,convenience,800,78.0
rest,marche,pharmacy,400,4.6
rest,marche,pharmacy,1000,25.6
rest,marche,school,400,10.7
rest,marche,school,1000,56.1
rest,marche,kindergarten,400,7.4
rest,marche,kindergarten,1000,35.3
rest,marche,bank,400,3.5
rest,marche,bank,1000,18.8
rest,marche,health,400,3.0
rest,marche,health,1000,16.7
rest,marche,dentist,400,3.1
rest,marche,dentist,1000,14.9
rest,marche,veterinary,400,1.3
rest,marche,veterinary,1000,7.5
rest,marche,supermarket,400,3.6
rest,marche,supermarket,1000,18.9
rest,marche,convenience,400,7.1
rest,marche,convenience,1000,37.4
rest,marche_transport,pharmacy,400,42.2
rest,marche_transport,pharmacy,1000,81.2
rest,marche_transport,school,400,44.6
rest,marche_transport,school,1000,87.0
rest,marche_transport,kindergarten,400,49.8
rest,marche_transport,kindergarten,1000,86.6
rest,marche_transport,bank,400,43.9
rest,marche_transport,bank,1000,81.7
rest,marche_transport,health,400,46.7
rest,marche_transport,health,1000,82.4
rest,marche_transport,dentist,400,19.1
rest,marche_transport,dentist,1000,76.8
rest,marche_transport,veterinary,400,43.2
rest,marche_transport,veterinary,1000,81.7
rest,marche_transport,supermarket,400,44.3
rest,marche_transport,supermarket,1000,81.7
rest,marche_transport,convenience,400,48.5
rest,marche_transport,convenience,1000,83.0
