group,n_services,added_type,site_id,latitude,longitude,threshold_m,weighted_covered_percent,gain_percent
seniors,1,pharmacy,101,45.563015,-73.224437,800.0,18.6,0.9
seniors,2,supermarket,44,45.571316,-73.203202,800.0,19.4,1.7
seniors,3,health,61,45.546566,-73.216755,800.0,20.2,2.5
seniors,4,pharmacy,46,45.573659,-73.200117,800.0,20.8,3.1
seniors,5,health,7,45.562611,-73.192223,800.0,21.5,3.8
rest,1,supermarket,101,45.563015,-73.224437,1000.0,26.7,0.9
rest,2,supermarket,45,45.573099,-73.201369,1000.0,27.4,1.6
rest,3,supermarket,0,45.539825,-73.1896,1000.0,28.1,2.3
rest,4,supermarket,53,45.591622,-73.194209,1000.0,28.7,2.9
rest,5,supermarket,52,45.577583,-73.179777,1000.0,29.3,3.5
