group,service_type,threshold_m,covered_with_bridges_persons,covered_without_bridges_persons,group_total_persons,barrier_effect_persons,barrier_effect_percent
rest,bank,1000,8505.7,8505.7,45343.0,0.0,0.0
rest,convenience,1000,16948.4,16948.4,45343.0,0.0,0.0
rest,dentist,1000,6761.8,6664.5,45343.0,97.3,0.2
rest,health,1000,7583.4,7392.2,45343.0,191.2,0.4
rest,kindergarten,1000,15984.3,15984.3,45343.0,0.0,0.0
rest,pharmacy,1000,11599.7,11599.7,45343.0,0.0,0.0
rest,school,1000,25453.5,25453.5,45343.0,0.0,0.0
rest,supermarket,1000,8564.0,8564.0,45343.0,0.0,0.0
rest,veterinary,1000,3385.1,3385.1,45343.0,0.0,0.0
seniors,bank,800,2213.5,2213.5,12035.0,0.0,0.0
seniors,convenience,800,3395.4,3395.4,12035.0,0.0,0.0
seniors,dentist,800,1201.9,1201.9,12035.0,0.0,0.0
seniors,health,800,1655.5,1642.6,12035.0,12.9,0.1
seniors,kindergarten,800,3833.5,3833.5,12035.0,0.0,0.0
seniors,pharmacy,800,3063.3,3063.3,12035.0,0.0,0.0
seniors,school,800,4861.0,4861.0,12035.0,0.0,0.0
seniors,supermarket,800,2536.5,2536.5,12035.0,0.0,0.0
seniors,veterinary,800,537.1,537.1,12035.0,0.0,0.0
