n_services,weighting,added_type,site_id,covered_percent
0,seniors,,,19.9
1,seniors,pharmacy,24,20.9
2,seniors,health,7,21.6
3,seniors,pharmacy,16,22.4
4,seniors,supermarket,28,23.1
5,seniors,supermarket,39,23.7
6,seniors,bank,6,24.2
7,seniors,dentist,31,24.7
8,seniors,convenience,9,25.1
9,seniors,dentist,23,25.6
10,seniors,supermarket,35,26.0
0,population_total,,,30.0
1,population_total,supermarket,24,31.0
2,population_total,supermarket,37,31.8
3,population_total,supermarket,16,32.6
4,population_total,supermarket,39,33.3
5,population_total,supermarket,11,34.0
6,population_total,supermarket,33,34.6
7,population_total,supermarket,36,35.2
8,population_total,health,26,35.6
9,population_total,supermarket,35,36.1
10,population_total,pharmacy,17,36.5
