mode,type_service,seuil_m,aines_couverts,aines_totaux,taux
marche,banque,400,648.0,12035.0,0.0538
marche_transport,banque,400,7052.0,12035.0,0.586
marche,bibliotheque,400,229.2,12035.0,0.019
marche_transport,bibliotheque,400,6968.0,12035.0,0.579
marche,communautaire,400,815.9,12035.0,0.0678
marche_transport,communautaire,400,7261.2,12035.0,0.6033
marche,ecole,400,1278.8,12035.0,0.1063
marche_transport,ecole,400,7391.1,12035.0,0.6141
marche,epicerie,400,1504.7,12035.0,0.125
marche_transport,epicerie,400,7180.8,12035.0,0.5967
marche,pharmacie,400,945.1,12035.0,0.0785
marche_transport,pharmacie,400,7005.1,12035.0,0.5821
marche,poste,400,102.5,12035.0,0.0085
marche_transport,poste,400,6948.4,12035.0,0.5773
marche,sante,400,513.1,12035.0,0.0426
marche_transport,sante,400,7046.6,12035.0,0.5855
marche,banque,800,2197.8,12035.0,0.1826
marche_transport,banque,800,7422.9,12035.0,0.6168
marche,bibliotheque,800,832.9,12035.0,0.0692
marche_transport,bibliotheque,800,7064.0,12035.0,0.587
marche,communautaire,800,3144.4,12035.0,0.2613
marche_transport,communautaire,800,7961.1,12035.0,0.6615
marche,ecole,800,4845.5,12035.0,0.4026
marche_transport,ecole,800,8430.4,12035.0,0.7005
marche,epicerie,800,4231.0,12035.0,0.3516
marche_transport,epicerie,800,7968.1,12035.0,0.6621
marche,pharmacie,800,3047.7,12035.0,0.2532
marche_transport,pharmacie,800,7327.4,12035.0,0.6088
marche,poste,800,484.1,12035.0,0.0402
marche_transport,poste,800,6975.1,12035.0,0.5796
marche,sante,800,1652.7,12035.0,0.1373
marche_transport,sante,800,7515.8,12035.0,0.6245
