population,site_id,service_type,recommendation,x,y
seniors,24,pharmacy,ajout numero 1,326299.6,5047029.1
seniors,7,health,ajout numero 2,326940.6,5045744.2
seniors,16,pharmacy,ajout numero 3,328207.7,5048238.2
seniors,28,supermarket,ajout numero 4,328028.4,5047873.3
seniors,39,supermarket,ajout numero 5,329042.1,5044482.9
seniors,6,bank,ajout numero 6,326918.2,5045294.2
seniors,31,dentist,ajout numero 7,329273.5,5047013.4
seniors,9,convenience,ajout numero 8,327267.0,5046092.3
seniors,23,dentist,ajout numero 9,326698.0,5045510.6
seniors,35,supermarket,ajout numero 10,329713.6,5047704.5
population_total,24,supermarket,ajout numero 1,326299.6,5047029.1
population_total,37,supermarket,ajout numero 2,325577.4,5045137.4
population_total,16,supermarket,ajout numero 3,328207.7,5048238.2
population_total,39,supermarket,ajout numero 4,329042.1,5044482.9
population_total,11,supermarket,ajout numero 5,328320.5,5050280.1
population_total,33,supermarket,ajout numero 6,330308.3,5048332.8
population_total,36,supermarket,ajout numero 7,329822.3,5048691.4
population_total,26,health,ajout numero 8,326644.3,5045604.4
population_total,35,supermarket,ajout numero 9,329713.6,5047704.5
population_total,17,pharmacy,ajout numero 10,328657.0,5050232.5
